,pid,template
7,P50,Who penned [MASK]?
8,P50,Who authored [MASK]?
9,P50,Who is the source of [MASK]?
0,P20,What location was the place of [MASK]'s death?
1,P20,What spot was [MASK]'s final resting place?
2,P20,In what site did [MASK] pass away?
3,P20,What area was the scene of [MASK]'s demise?
4,P20,What was the place of [MASK]'s expiration?
5,P20,At what spot did [MASK] breather their last?
6,P20,Where did [MASK] draw their last breath?
7,P20,What area served as the site of [MASK]'s end?
8,P20,In which destination did [MASK] cease to exist?
9,P20,What was the scene of [MASK]'s termination?
0,P69,What type of school did [MASK] attend?
1,P69,What kind of educational background does [MASK] have?
2,P69,What institutions did [MASK] go to for learning?
3,P69,Where did [MASK] study?
4,P69,What was [MASK]’s alma mater?
5,P69,Where did [MASK] receive their education?
6,P69,What schools did [MASK] go to?
7,P69,In what learning environment did [MASK] grow?
8,P69,What was the educational experience of [MASK]?
9,P69,What educational opportunities did [MASK] have?
0,P131,In which governmental area is [MASK] situated?
1,P131,What administrative subdivision is [MASK] located in?
2,P131,What is the administrative domain containing [MASK]?
3,P131,Within which administrative entity does [MASK] reside?
4,P131,What is the territorial unit that [MASK] is part of?
5,P131,What is the governing body that has jurisdiction over [MASK]?
6,P131,What is the political area that [MASK] can be found in?
7,P131,What is the governing region that [MASK] is situated in?
8,P131,What political subdivision includes [MASK]?
9,P131,In which territorial entity is [MASK] placed?
0,P19,In what location was [MASK] born? 
1,P19,What was the birthplace of [MASK]? 
2,P19,What is the origin of [MASK]? 
3,P19,What is the hometown of [MASK]?
4,P19,From where did [MASK] originate? 
5,P19,What is the place of origin of [MASK]?
6,P19,From which city or country was [MASK] born? 
7,P19,Where did [MASK] take their first breath?
8,P19,What was the city or country of [MASK]'s birth?
9,P19,In which country or region did [MASK] enter the world?
0,P36,Where is the main city of [MASK] located?
1,P36,What is the principal city of [MASK]?
2,P36,What is the chief city of [MASK]?
3,P36,What is the main urban area of [MASK]?
4,P36,What is the political center of [MASK]?
5,P36,What is the seat of government in [MASK]?
6,P36,What is the central city of [MASK]?
7,P36,What metropolis is the capital of [MASK]?
8,P36,What is the dominating city of [MASK]?
9,P36,What is the main city of [MASK]?
0,P156,What comes next after [MASK]?
1,P156,What ensues [MASK]?
2,P156,What succeeds [MASK]?
3,P156,What is the outcome of [MASK]?
4,P156,What is the consequence of [MASK]?
5,P156,What follows from [MASK]?
6,P156,What is the aftereffect of [MASK]?
7,P156,What occurs after [MASK]?
8,P156,What conclusion is derived from [MASK]?
9,P156,What result is born from [MASK]?
0,P155,What comes after [MASK]? 
1,P155,What comes after that [MASK]? 
2,P155,What is subsequently followed by [MASK]? 
3,P155,What is the subsequent thing after [MASK]?
4,P155,What is the next thing to [MASK]?
5,P155,What comes next after [MASK]?
6,P155,What follows [MASK]?
7,P155,What comes right after [MASK]?
8,P155,What happens after [MASK]?
9,P155,What is the next step after [MASK]?
0,P1376,What city serves as the capital of [MASK]?
1,P1376,What is the main city of [MASK]?
2,P1376,What is the major city in [MASK]?
3,P1376,What town is the capital of [MASK]?
4,P1376,Where is the governmental seat of [MASK]?
5,P1376,What is the political center of [MASK]?
6,P1376,What is the major civic center of [MASK]?
7,P1376,In what city is the seat of [MASK]?
8,P1376,What is the most important city in [MASK]?
9,P1376,What is the administrative hub of [MASK]?
0,P1366,What has taken the place of [MASK]?
1,P1366,What has been substituted for [MASK]?
2,P1366,What has been put in the place of [MASK]?
3,P1366,What has been swapped out for [MASK]?
4,P1366,What has supplanted [MASK]?
5,P1366,What has been used to replace [MASK]?
6,P1366,What has taken over for [MASK]?
7,P1366,What has been substituted in for [MASK]?
8,P1366,What has been provided in place of [MASK]?
9,P1366,What has been put in the stead of [MASK]?
0,P1365,What was supplanted by [MASK]?
1,P1365,What took the place of [MASK]?
2,P1365,What was in lieu of [MASK]?
3,P1365,What was the replacement for [MASK]?
4,P1365,What was the substitute for [MASK]?
5,P1365,What was put in the stead of [MASK]?
6,P1365,What was the switch to [MASK]?
7,P1365,What was changed to [MASK]?
8,P1365,What replaced [MASK]?
9,P1365,What was superseded by [MASK]?
