,s,p,o,type,ss,os,obj_len_3b,obj_len_sm,prompt
119,Q14466,P30,Q18,train,La Reina,South America,3,3,What continent is La Reina located on?
120,Q21590062,P30,Q51,train,Antarctic Treaty area,Antarctica,3,3,What continent is Antarctic Treaty area located on?
121,Q2997153,P30,Q828,train,Venezuelan Coastal Range,Americas,3,3,What continent is Venezuelan Coastal Range located on?
122,Q5428,P30,Q5401,train,Siberia,Eurasia,4,4,What continent is Siberia located on?
123,Q102317,P30,Q46,train,Kielce,Europe,2,2,What continent is Kielce located on?
124,Q1072949,P30,Q48,train,Western Han,Asia,2,2,What continent is Western Han located on?
125,Q1183,P30,Q49,train,Puerto Rico,North America,3,3,What continent is Puerto Rico located on?
126,Q1049644,P30,Q15,train,Piton de la Fournaise,Africa,2,2,What continent is Piton de la Fournaise located on?
127,Q155,P30,Q18,train,Brazil,South America,3,3,What continent is Brazil located on?
128,Q23408,P30,Q51,train,Bouvet Island,Antarctica,3,3,What continent is Bouvet Island located on?
129,Q60,P30,Q828,train,New York City,Americas,3,3,What continent is New York City located on?
130,Q58296,P30,Q5401,train,French First Republic,Eurasia,4,4,What continent is French First Republic located on?
131,Q102350,P30,Q46,train,Bytom,Europe,2,2,What continent is Bytom located on?
132,Q1078602,P30,Q48,train,Kingdom of Nepal,Asia,2,2,What continent is Kingdom of Nepal located on?
133,Q1191350,P30,Q49,train,Massachusetts Bay Colony,North America,3,3,What continent is Massachusetts Bay Colony located on?
134,Q1106424,P30,Q15,train,Darawiish,Africa,2,2,What continent is Darawiish located on?
135,Q157603,P30,Q18,train,Pantanal,South America,3,3,What continent is Pantanal located on?
136,Q2961803,P30,Q51,train,Bowers Mountains,Antarctica,3,3,What continent is Bowers Mountains located on?
137,Q60666778,P30,Q828,train,Maipo basin,Americas,3,3,What continent is Maipo basin located on?
138,Q79965,P30,Q5401,train,Golden Horde,Eurasia,4,4,What continent is Golden Horde located on?
139,Q102397,P30,Q46,train,Miskolc,Europe,2,2,What continent is Miskolc located on?
140,Q107998950,P30,Q48,train,Persian Gulf Basin,Asia,2,2,What continent is Persian Gulf Basin located on?
141,Q1204,P30,Q49,train,Illinois,North America,3,3,What continent is Illinois located on?
142,Q114,P30,Q15,train,Kenya,Africa,2,2,What continent is Kenya located on?
143,Q1656936,P30,Q18,train,Presidencia Roque Sáenz Peña,South America,3,3,What continent is Presidencia Roque Sáenz Peña located on?
144,Q3323044,P30,Q51,train,Churchill Mountains,Antarctica,3,3,What continent is Churchill Mountains located on?
145,Q630882,P30,Q828,train,Republic of New Granada,Americas,3,3,What continent is Republic of New Granada located on?
146,Q827033,P30,Q5401,train,Berounka,Eurasia,4,4,What continent is Berounka located on?
147,Q102559184,P30,Q46,train,English Channel basin,Europe,2,2,What continent is English Channel basin located on?
148,Q1081620,P30,Q48,train,Siam,Asia,2,2,What continent is Siam located on?
149,Q1223,P30,Q49,train,Washington,North America,3,3,What continent is Washington located on?
150,Q115,P30,Q15,train,Ethiopia,Africa,2,2,What continent is Ethiopia located on?
151,Q171847,P30,Q18,train,Araguaia River,South America,3,3,What continent is Araguaia River located on?
152,Q3323150,P30,Q51,train,Queen Elizabeth Range,Antarctica,3,3,What continent is Queen Elizabeth Range located on?
153,Q63286104,P30,Q828,train,America/Montevideo,Americas,3,3,What continent is America/Montevideo located on?
154,Q8356,P30,Q5401,train,Valladolid,Eurasia,4,4,What continent is Valladolid located on?
155,Q10257,P30,Q46,train,Channel Tunnel,Europe,2,2,What continent is Channel Tunnel located on?
156,Q108451820,P30,Q48,train,Reigning Dynasty,Asia,2,2,What continent is Reigning Dynasty located on?
157,Q1227,P30,Q49,train,Nevada,North America,3,3,What continent is Nevada located on?
158,Q117,P30,Q15,train,Ghana,Africa,2,2,What continent is Ghana located on?
159,Q174,P30,Q18,train,São Paulo,South America,3,3,What continent is São Paulo located on?
160,Q3446038,P30,Q51,train,Sverdrup Mountains,Antarctica,3,3,What continent is Sverdrup Mountains located on?
161,Q66556162,P30,Q828,train,Valdivia Basin,Americas,3,3,What continent is Valdivia Basin located on?
162,Q8378,P30,Q5401,train,Palencia,Eurasia,4,4,What continent is Palencia located on?
163,Q102634,P30,Q46,train,Monsummano Terme,Europe,2,2,What continent is Monsummano Terme located on?
164,Q110985411,P30,Q48,train,Dasong,Asia,2,2,What continent is Dasong located on?
165,Q12439,P30,Q49,train,Detroit,North America,3,3,What continent is Detroit located on?
166,Q11768,P30,Q15,train,Ancient Egypt,Africa,2,2,What continent is Ancient Egypt located on?
167,Q175,P30,Q18,train,São Paulo,South America,3,3,What continent is São Paulo located on?
168,Q35086,P30,Q51,train,South Georgia and the South Sandwich Islands,Antarctica,3,3,What continent is South Georgia and the South Sandwich Islands located on?
169,Q93332,P30,Q828,train,Appalachian Mountains,Americas,3,3,What continent is Appalachian Mountains located on?
170,Q102673367,P30,Q46,train,Oria basin,Europe,2,2,What continent is Oria basin located on?
171,Q1121819,P30,Q48,train,Emirate of Transjordan,Asia,2,2,What continent is Emirate of Transjordan located on?
172,Q126125,P30,Q49,train,Saint Martin,North America,3,3,What continent is Saint Martin located on?
173,Q117714,P30,Q15,train,Anambra State,Africa,2,2,What continent is Anambra State located on?
174,Q1757394,P30,Q18,train,Doce River,South America,3,3,What continent is Doce River located on?
175,Q359194,P30,Q51,train,Admiralty Mountains,Antarctica,3,3,What continent is Admiralty Mountains located on?
176,Q990716,P30,Q828,train,Portoviejo,Americas,3,3,What continent is Portoviejo located on?
177,Q1027659,P30,Q46,train,Strabane,Europe,2,2,What continent is Strabane located on?
178,Q11285099,P30,Q48,train,United States occupation of the Ryukyu Islands,Asia,2,2,What continent is United States occupation of the Ryukyu Islands located on?
179,Q1265,P30,Q49,train,Colorado River,North America,3,3,What continent is Colorado River located on?
180,Q1232509,P30,Q15,train,Spanish Guinea,Africa,2,2,What continent is Spanish Guinea located on?
181,Q179396,P30,Q18,train,Paraguay River,South America,3,3,What continent is Paraguay River located on?
182,Q3861086,P30,Q51,train,Prince Albert Mountains,Antarctica,3,3,What continent is Prince Albert Mountains located on?
183,Q102911,P30,Q46,train,Holland,Europe,2,2,What continent is Holland located on?
184,Q1138904,P30,Q48,train,Kingdom of Afghanistan,Asia,2,2,What continent is Kingdom of Afghanistan located on?
185,Q12707,P30,Q49,train,Great Plains,North America,3,3,What continent is Great Plains located on?
186,Q130135,P30,Q15,train,Atlas Mountains,Africa,2,2,What continent is Atlas Mountains located on?
187,Q181476,P30,Q18,train,Cotopaxi volcano,South America,3,3,What continent is Cotopaxi volcano located on?
188,Q473357,P30,Q51,train,Royal Society Range,Antarctica,3,3,What continent is Royal Society Range located on?
189,Q102982118,P30,Q46,train,Zadorra basin,Europe,2,2,What continent is Zadorra basin located on?
190,Q1140988,P30,Q48,train,Debed,Asia,2,2,What continent is Debed located on?
191,Q1297,P30,Q49,train,Chicago,North America,3,3,What continent is Chicago located on?
192,Q130514,P30,Q15,train,Luxor,Africa,2,2,What continent is Luxor located on?
193,Q18278,P30,Q18,train,Uruguay River,South America,3,3,What continent is Uruguay River located on?
194,Q4969300,P30,Q51,train,Britannia Range,Antarctica,3,3,What continent is Britannia Range located on?
195,Q103016425,P30,Q46,train,Cadagua basin,Europe,2,2,What continent is Cadagua basin located on?
196,Q1142842,P30,Q48,train,Omolon,Asia,2,2,What continent is Omolon located on?
197,Q131071,P30,Q49,train,Willamette River,North America,3,3,What continent is Willamette River located on?
198,Q130626,P30,Q15,train,Borno State,Africa,2,2,What continent is Borno State located on?
199,Q191635,P30,Q18,train,Iguazu River,South America,3,3,What continent is Iguazu River located on?
200,Q5166989,P30,Q51,train,Cook Mountains,Antarctica,3,3,What continent is Cook Mountains located on?
201,Q103044660,P30,Q46,train,Nervión basin,Europe,2,2,What continent is Nervión basin located on?
202,Q1143126,P30,Q48,train,Later Tang Dynasty,Asia,2,2,What continent is Later Tang Dynasty located on?
203,Q131354,P30,Q49,train,Alcatraz Island,North America,3,3,What continent is Alcatraz Island located on?
204,Q132959,P30,Q15,train,Sub-Saharan Africa,Africa,2,2,What continent is Sub-Saharan Africa located on?
205,Q191829,P30,Q18,train,Magdalena River,South America,3,3,What continent is Magdalena River located on?
206,Q5256660,P30,Q51,train,Framnes Mountains,Antarctica,3,3,What continent is Framnes Mountains located on?
207,Q1031286,P30,Q46,train,Lena,Europe,2,2,What continent is Lena located on?
208,Q1143164,P30,Q48,train,Western Wei,Asia,2,2,What continent is Western Wei located on?
209,Q131454,P30,Q49,train,Library of Congress,North America,3,3,What continent is Library of Congress located on?
210,Q145793,P30,Q15,train,Zamfara State,Africa,2,2,What continent is Zamfara State located on?
211,Q2088324,P30,Q18,train,Colonial Brazil,South America,3,3,What continent is Colonial Brazil located on?
212,Q5625970,P30,Q51,train,Géologie Archipelago,Antarctica,3,3,What continent is Géologie Archipelago located on?
213,Q10313,P30,Q46,train,Donostia-San Sebastián,Europe,2,2,What continent is Donostia-San Sebastián located on?
214,Q1143524,P30,Q48,train,Northern Qi,Asia,2,2,What continent is Northern Qi located on?
215,Q13160,P30,Q49,train,Jalisco,North America,3,3,What continent is Jalisco located on?
216,Q146055,P30,Q15,train,Eighteenth Dynasty of Egypt,Africa,2,2,What continent is Eighteenth Dynasty of Egypt located on?
217,Q211435,P30,Q18,train,Viceroyalty of Peru,South America,3,3,What continent is Viceroyalty of Peru located on?
218,Q6995688,P30,Q51,train,Neptune Range,Antarctica,3,3,What continent is Neptune Range located on?
219,Q1031430,P30,Q46,train,Habsburg Netherlands,Europe,2,2,What continent is Habsburg Netherlands located on?
220,Q1145470,P30,Q48,train,Western Jin dynasty,Asia,2,2,What continent is Western Jin dynasty located on?
221,Q13353,P30,Q49,train,Montserrat,North America,3,3,What continent is Montserrat located on?
222,Q1515,P30,Q15,train,Abidjan,Africa,2,2,What continent is Abidjan located on?
223,Q21203,P30,Q18,train,Aruba,South America,3,3,What continent is Aruba located on?
224,Q724467,P30,Q51,train,Asgard Range,Antarctica,3,3,What continent is Asgard Range located on?
225,Q103620962,P30,Q46,train,Barbadun basin,Europe,2,2,What continent is Barbadun basin located on?
226,Q1147037,P30,Q48,train,Eastern Han,Asia,2,2,What continent is Eastern Han located on?
227,Q1342,P30,Q49,train,Pittsburgh,North America,3,3,What continent is Pittsburgh located on?
228,Q153665,P30,Q15,train,German South-West Africa,Africa,2,2,What continent is German South-West Africa located on?
229,Q217071,P30,Q18,train,Pucallpa,South America,3,3,What continent is Pucallpa located on?
230,Q7269310,P30,Q51,train,Quartermain Mountains,Antarctica,3,3,What continent is Quartermain Mountains located on?
231,Q103624020,P30,Q46,train,Urola basin,Europe,2,2,What continent is Urola basin located on?
232,Q1147043,P30,Q48,train,Southern Song Dynasty,Asia,2,2,What continent is Southern Song Dynasty located on?
233,Q1347162,P30,Q49,train,New England Conservatory of Music,North America,3,3,What continent is New England Conservatory of Music located on?
234,Q153963,P30,Q15,train,German East Africa,Africa,2,2,What continent is German East Africa located on?
235,Q217230,P30,Q18,train,Empire of Brazil,South America,3,3,What continent is Empire of Brazil located on?
236,Q781331,P30,Q51,train,Australian Antarctic Division,Antarctica,3,3,What continent is Australian Antarctic Division located on?
237,Q103717,P30,Q46,train,Rovaniemi,Europe,2,2,What continent is Rovaniemi located on?
238,Q1154556,P30,Q48,train,Later Zhou dynasty,Asia,2,2,What continent is Later Zhou dynasty located on?
239,Q134750,P30,Q49,train,St. Lawrence River,North America,3,3,What continent is St. Lawrence River located on?
240,Q1557172,P30,Q15,train,"University of Education, Winneba",Africa,2,2,"What continent is University of Education, Winneba located on?"
241,Q236744,P30,Q18,train,Tunja,South America,3,3,What continent is Tunja located on?
242,Q7901713,P30,Q51,train,Usarp Mountains,Antarctica,3,3,What continent is Usarp Mountains located on?
243,Q104285,P30,Q46,train,Occitania,Europe,2,2,What continent is Occitania located on?
244,Q1157215,P30,Q48,train,Dagestan Autonomous Soviet Socialist Republic,Asia,2,2,What continent is Dagestan Autonomous Soviet Socialist Republic located on?
245,Q1384,P30,Q49,train,New York,North America,3,3,What continent is New York located on?
246,Q157904,P30,Q15,train,Sultanate of Zanzibar,Africa,2,2,What continent is Sultanate of Zanzibar located on?
247,Q244451,P30,Q18,train,Amazon basin,South America,3,3,What continent is Amazon basin located on?
248,Q837290,P30,Q51,train,Mühlig-Hofmann Mountains,Antarctica,3,3,What continent is Mühlig-Hofmann Mountains located on?
249,Q104302,P30,Q46,train,Chorzów,Europe,2,2,What continent is Chorzów located on?
250,Q1161616,P30,Q48,train,Mount Gilboa,Asia,2,2,What continent is Mount Gilboa located on?
251,Q1390482,P30,Q49,train,Quinault River,North America,3,3,What continent is Quinault River located on?
252,Q158725,P30,Q15,train,Tanganyika Territory,Africa,2,2,What continent is Tanganyika Territory located on?
253,Q25279,P30,Q18,train,Curaçao,South America,3,3,What continent is Curaçao located on?
254,Q840948,P30,Q51,train,Tangra Mountains,Antarctica,3,3,What continent is Tangra Mountains located on?
255,Q1047568,P30,Q46,train,Shelon,Europe,2,2,What continent is Shelon located on?
256,Q11708,P30,Q48,train,Southeast Asia,Asia,2,2,What continent is Southeast Asia located on?
257,Q1391,P30,Q49,train,Maryland,North America,3,3,What continent is Maryland located on?
258,Q161062,P30,Q15,train,Togoland,Africa,2,2,What continent is Togoland located on?
259,Q28573,P30,Q18,train,Inca Empire,South America,3,3,What continent is Inca Empire located on?
260,Q856906,P30,Q51,train,Livingston Island,Antarctica,3,3,What continent is Livingston Island located on?
261,Q1047677,P30,Q46,train,Samara River,Europe,2,2,What continent is Samara River located on?
262,Q1174,P30,Q48,train,Haryana,Asia,2,2,What continent is Haryana located on?
263,Q1393,P30,Q49,train,Delaware,North America,3,3,What continent is Delaware located on?
264,Q1654025,P30,Q15,train,Kwame Nkrumah University of Science and Technology,Africa,2,2,What continent is Kwame Nkrumah University of Science and Technology located on?
265,Q2887518,P30,Q18,train,Orinoco basin,South America,3,3,What continent is Orinoco basin located on?
266,Q859440,P30,Q51,train,King George Island,Antarctica,3,3,What continent is King George Island located on?
267,Q1050400,P30,Q46,train,Ubort,Europe,2,2,What continent is Ubort located on?
268,Q11774,P30,Q48,train,Gupta Empire,Asia,2,2,What continent is Gupta Empire located on?
269,Q1397,P30,Q49,train,Ohio,North America,3,3,What continent is Ohio located on?
270,Q17070,P30,Q15,train,Réunion,Africa,2,2,What continent is Réunion located on?
271,Q2887553,P30,Q18,train,Paraíba do Sul basin,South America,3,3,What continent is Paraíba do Sul basin located on?
272,Q105060,P30,Q46,train,Sosnowiec,Europe,2,2,What continent is Sosnowiec located on?
273,Q1184,P30,Q48,train,Jharkhand,Asia,2,2,What continent is Jharkhand located on?
274,Q1400,P30,Q49,train,Pennsylvania,North America,3,3,What continent is Pennsylvania located on?
275,Q172070,P30,Q15,train,Mount Kenya,Africa,2,2,What continent is Mount Kenya located on?
276,Q298,P30,Q18,train,Chile,South America,3,3,What continent is Chile located on?
277,Q10508405,P30,Q46,train,Litovicko-Šárecký potok,Europe,2,2,What continent is Litovicko-Šárecký potok located on?
278,Q1185,P30,Q48,train,Karnataka,Asia,2,2,What continent is Karnataka located on?
279,Q1408,P30,Q49,train,New Jersey,North America,3,3,What continent is New Jersey located on?
280,Q173017,P30,Q15,train,Limpopo River,Africa,2,2,What continent is Limpopo River located on?
281,Q334738,P30,Q18,train,Margarita Island,South America,3,3,What continent is Margarita Island located on?
282,Q105313,P30,Q46,train,Kingdom of Wessex,Europe,2,2,What continent is Kingdom of Wessex located on?
283,Q1185746,P30,Q48,train,Demyanka,Asia,2,2,What continent is Demyanka located on?
284,Q1415,P30,Q49,train,Indiana,North America,3,3,What continent is Indiana located on?
285,Q1766573,P30,Q15,train,University for Development Studies,Africa,2,2,What continent is University for Development Studies located on?
286,Q3769,P30,Q18,train,French Guiana,South America,3,3,What continent is French Guiana located on?
287,Q1062392,P30,Q46,train,La Salvetat-sur-Agout,Europe,2,2,What continent is La Salvetat-sur-Agout located on?
288,Q1186,P30,Q48,train,Kerala,Asia,2,2,What continent is Kerala located on?
289,Q1427197,P30,Q49,train,Big Bend National Park,North America,3,3,What continent is Big Bend National Park located on?
290,Q181475,P30,Q15,train,Orange River,Africa,2,2,What continent is Orange River located on?
291,Q3783,P30,Q18,train,Amazon,South America,3,3,What continent is Amazon located on?
292,Q106588,P30,Q46,train,Isar,Europe,2,2,What continent is Isar located on?
293,Q1188,P30,Q48,train,Madhya Pradesh,Asia,2,2,What continent is Madhya Pradesh located on?
294,Q1438706,P30,Q49,train,Fort Sam Houston,North America,3,3,What continent is Fort Sam Houston located on?
